"endTime","artistName","trackName","msPlayed"
"2022-05-09 19:34","Pusha T","Neck & Wrist (feat. JAY-Z & Pharrell Williams)",317568
"2022-05-09 19:34","Bladee","Chaos Follows",9736
"2022-05-09 19:36","Bladee","Side by Side",136447
"2022-05-09 19:37","Bladee","Chaos Follows",69662
"2022-05-09 19:40","Buckshot","Hallow'd Ground",4138
"2022-05-09 19:40","Little Simz","Woman",133446
"2022-05-09 19:42","JPEGMAFIA","HAZARD DUTY PAY!",133376
"2022-05-09 19:44","Buckshot","Keepe Out",152843
"2022-05-09 19:46","Playboi Carti","Half & Half",73301
"2022-05-09 19:48","Yeat","Doublë",170453
"2022-05-09 19:50","Sematary","Goin' Mordum",86177
"2022-05-09 19:53","Kanye West","POWER",8910
"2022-05-09 19:53","Yeat","Poppin",167186
"2022-05-09 19:53","Yeat","Monëy so big",1365
"2022-05-09 19:56","Kendrick Lamar","The Heart Part 5",43285
"2022-05-09 19:56","Denzel Curry","The Smell Of Death",4522
"2022-05-09 19:56","Yung Kayo","YEET (feat. Yeat)",154218
"2022-05-09 19:56","Denzel Curry","Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",3306
"2022-05-09 23:40","Kendrick Lamar","The Heart Part 5",288925
"2022-05-09 23:43","KIDS SEE GHOSTS","Freeee (Ghost Town Pt. 2)",156965
"2022-05-09 23:43","SOB X RBE","Paramedic!",2517
"2022-05-09 23:43","Tyler, The Creator","LUMBERJACK",981
"2022-05-09 23:43","Young Thug","The London (feat. J. Cole & Travis Scott)",1173
"2022-05-09 23:43","Playboi Carti","Middle Of The Summer (feat. Red Coldhearted)",1237
"2022-05-09 23:43","GoldLink","U Say (feat. Tyler, The Creator & Jay Prince)",1045
"2022-05-09 23:43","Kanye West","Come to Life",1493
